Sector,Query,link,Title,Description,Position,Type,PDF Available (Y/N),Country of Origin,Language,Description / Purpose,Form Title,No. of Pages,PDF size,Status,Verified By,Date,Feedback
medical,"""問診票"" filetype:pdf",https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/kokusai/setsumeisiryo/dl/en14.pdf,Internal Medicine Questionnaire/内科 問診票,Internal Medicine Questionnaire/内科 問診票厚生労働省https://www.mhlw.go.jp › kokusai › setsumeisiryo厚生労働省PDF/「はい」に☑した人は、疾患名リストから選択し、治療していた医療機関名を書いてください。 □ Recovered/治癒. □. □ Withdrawal of treatment/治療中断. 内科問診票 2018 ...,1,organic_results,Yes,,Russian,,Medical,3,168 KB,Reject,Arun,,
medical,"""問診票"" filetype:pdf",https://www.iwakura.ed.jp/nihongo/h7-2.pdf,心臓検診問診票（英語） School Heart Examination Inquiry,"心臓検診問診票（英語） School Heart Examination Inquiryiwakura.ed.jphttps://www.iwakura.ed.jp › nihongoiwakura.ed.jpPDF心臓検診問診票（英語）. School Heart Examination Inquiry. Dear parents/guardians,. In order for the children to have a fun and meaningful school life, we would ...",3,organic_results,Yes,,Russian,,Medical,2,11.4,Accept,Arun,,
medical,"""問診票"" filetype:pdf",https://www.miyagi-children.or.jp/wp/wp-content/uploads/2021/06/monsin_english.pdf,Interview Sheet（問診票）,Interview Sheet（問診票）宮城県立こども病院https://www.miyagi-children.or.jp › 2021/06 › m...宮城県立こども病院PDFInterview Sheet（問診票）. Name of Patient（患者氏名）: Date of Birth（生年月日）：. (yyyy/mm/dd). Age（年齢）: Gender（性別）：□ Male □ Female □ Others.,4,organic_results,Yes,,Russian,,Medical,5,838 KB,Accept,Arun,,
medical,"""問診票"" filetype:pdf",https://ficec.jp/info-fujimino/pdf/1012-chinese.pdf,問診票是什么？,問診票是什么？ふじみの国際交流センターhttps://ficec.jp › info-fujimino › pdf › 1012-chineseふじみの国際交流センターPDF平常就携带着填写妥当的「多语言医疗问诊票」. 也是一个好方法。 問診票是什么？ 到医院的服务窗口时. 会听到这样的问话.,5,organic_results,Yes,,Russian,,Medical,2,306 KB,Accept,Arun,,
medical,"""問診票"" filetype:pdf",https://tsukuba-breast.jp/wp-content/themes/lightning-pro-child/assets/img/PDF/Interview_breast_en.pdf,Breast Cancer Diagnosis and Screening Interview Sheet,Breast Cancer Diagnosis and Screening Interview Sheetつくば国際ブレスト＆レディースクリニックhttps://tsukuba-breast.jp › assets › img › PDF › Int...つくば国際ブレスト＆レディースクリニックPDF,6,organic_results,Yes,,Russian,,Medical,1,55.7 KB,Accept,Arun,,
medical,"""問診票"" filetype:pdf",https://mk.moriyamaikai.or.jp/user/media/moriyamakinen-hospital/page/outpatient/first_visit/monshinhyo.pdf,問診票,問診票社会医療法人社団森山医会https://mk.moriyamaikai.or.jp › page › monshinhyo社会医療法人社団森山医会PDF問診票. (1/2枚目). バーコード. （問診票）. 貼り付け位置. 日頃. 病院・クリニック（診療所）. 2枚目もございます。忘れずにご記入をお願い致します. 性別. －. －. －. Page 2 ...,7,organic_results,Yes,,Russian,,Medical,2,364 KB,Accept,Arun,,
medical,"""問診票"" filetype:pdf",https://www.sannoclinic.jp/pdf_form.pdf,問診票 (Medical Questionnaire),"問診票 (Medical Questionnaire)医療法人社団 松伯会 山王クリニックhttps://www.sannoclinic.jp › pdf_form医療法人社団 松伯会 山王クリニックPDF問診票 (Medical Questionnaire). 該当欄にチェックしてください。 Check (☑) all corresponding answers. 日付(Date). 年(Y). 月(M). 日(D). 名前 (ﾌﾘｶﾅ, Name). ❑ 男(M) ...",8,organic_results,Yes,,Russian,,Medical,1,141 KB,Reject,Arun,,
medical,"""問診票"" filetype:pdf",https://www.jrc.or.jp/donation/pdf/ketsueki_monshinhyo_2018ver.pdf,問 診 票,問 診 票日本赤十字社https://www.jrc.or.jp › donation › pdf日本赤十字社PDFなお、エイズウイルス（HIV）の検査結果は通知しておりません。 (注意） 法令の規定により、記入された問診票及び献血申込書（診療録）の返却・廃棄はできません。,9,organic_results,Yes,,Russian,,Medical,2,163 KB,Accept,Arun,,
medical,"""患者登録用紙"" filetype:pdf",https://seiwa-mc.jp/wp-content/uploads/2025/04/%E5%85%A5%E9%99%A2%E5%B8%8C%E6%9C%9B%E6%82%A3%E8%80%85%E7%99%BB%E9%8C%B2%E7%94%A8%E7%B4%99%EF%BC%88%E5%88%9D%E5%9B%9E%EF%BC%89.pdf,入院希望患者登録用紙（初回）,入院希望患者登録用紙（初回）奈良県西和医療センターhttps://seiwa-mc.jp › uploads › 2025/04 › 入院...奈良県西和医療センターPDF入院希望患者登録用紙（初回）. 地方独立行政法人奈良県立病院機構奈良県西和医療センターは、下記患者さんが在宅療養中に緊急対応が. 必要となった場合に、下記医療機関 ...,1,organic_results,Yes,,Russian,,Medical,1,,Accept,Arun,,
medical,"""患者登録用紙"" filetype:pdf",https://www.npo-rett.jp/rett_db_pdf/rett_db_01_koushin.pdf,レット症候群データベース 患者登録用紙 （更新用）,レット症候群データベース 患者登録用紙 （更新用）NPO法人 レット症候群支援機構https://www.npo-rett.jp › rett_db_01_koushinNPO法人 レット症候群支援機構レット症候群データベース 患者登録用紙 （更新用）. ※登録番号. （注）. 患者記入欄（医師代筆可）. 患者または医師が記入する欄. 医師が記入する欄. 記入日. その他の ...,2,organic_results,Yes,,Russian,,Medical,2,,Reject,Arun,,
medical,"""患者登録用紙"" filetype:pdf",http://www.higashiku.city.hiroshima.med.or.jp/wp/wp-content/themes/HMA/facenet/facenetentry_ishi.pdf,東区医師会 フェイスネット ―新規患者登録用紙―,東区医師会 フェイスネット ―新規患者登録用紙―広島市東区医師会http://www.higashiku.city.hiroshima.med.or.jp › f...広島市東区医師会PDF―新規患者登録用紙―. ◎患者氏名 フリガナ. 性別. 男性 ・ 女性. ◎生年月日. 明治・大正・昭和. 年 月 日. ◎患者住所. ◎患者電話番号. ◎患者の部屋の作成申請者. （医師 ...,4,organic_results,Yes,,Russian,,Medical,1,,Reject,Arun,,
medical,"""患者登録用紙"" filetype:pdf",https://kmah.jp/wp-content/uploads/2024/02/ukeirekanjyatoroku.pdf,鹿児島市医師会病院緊急受け入れ患者登録用紙,鹿児島市医師会病院緊急受け入れ患者登録用紙鹿児島市医師会病院https://kmah.jp › 2024/02 › ukeirekanjyatoroku鹿児島市医師会病院PDF鹿児島市医師会病院緊急受け入れ患者登録用紙. 3ヶ月後変更事項変更し、同様にFAX更新して下さい。登録日・更新日は、登録後当院より再度FAX致します。 登録更新の有無.,5,organic_results,Yes,,Russian,,Medical,1,,Accept,Arun,,
medical,"""患者登録用紙"" filetype:pdf",http://www.sekizen-hp.or.jp/daini_sekizen/images/pdf/nyuuin_kibou.pdf,入院希望患者登録用紙,入院希望患者登録用紙医療法人 積善会http://www.sekizen-hp.or.jp › pdf › nyuuin_kibou医療法人 積善会PDF入院希望患者登録用紙. 説明日： 年 月 日. 説明者：. 第二積善病院は、【患者名：. 】様が在宅療養中に緊急対応が必要になった場. 合に、【貴院名：. 】からの連絡に基づき ...,6,organic_results,Yes,,Russian,,Medical,1,,Reject,Arun,,
medical,"""患者登録用紙"" filetype:pdf",https://www.jmda.or.jp/wp-content/uploads/2017/05/6-tetsuzuki2.pdf,登録同意説明書 1． 筋ジストロフィーの治験の実施を促進する ...,登録同意説明書 1． 筋ジストロフィーの治験の実施を促進する ...一般社団法人 日本筋ジストロフィー協会https://www.jmda.or.jp › 2017/05 › 6-tetsuzuki2一般社団法人 日本筋ジストロフィー協会PDF6． 登録は無料ですが、患者登録用紙に記入する際の医師への受診、登録に必要. な書類の郵送費用（書留）は患者の皆さんの負担となります。 7． 個人情報については ...,7,organic_results,Yes,,Russian,,Medical,1,,Accept,Arun,,
medical,"""患者登録用紙"" filetype:pdf",https://new.jhrs.or.jp/contents_web/j-pres3/files/torokuyoshi_v2_1.pdf,施設名（ ） 登録者名（ ）記入日（ 年 月 日） 患者名 ...,施設名（ ） 登録者名（ ）記入日（ 年 月 日） 患者名 ...日本不整脈心電学会https://new.jhrs.or.jp › files › torokuyoshi_v2_1日本不整脈心電学会PDFSSS-GWAS 用 徐脈性不整脈患者登録用紙 (ver2). 検体番号#. 施設名（. ） 登録者名（. ）記入日（. 年 月 日）. 患者名（. ） 患者 ID (. ) 生年月日（西暦. 年. 月 日； 才 ...,8,organic_results,Yes,,Russian,,Medical,1,,Accept,Arun,,
medical,"""患者登録用紙"" filetype:pdf",https://groups.oist.jp/sites/default/files/imce/u1431/RegistrationForm.pdf,Clinic Registration Form for New Patient,Clinic Registration Form for New PatientOIST Groups |https://groups.oist.jp › sites › default › files › imceOIST Groups |PDF初診患者登録用紙. Last Name. 姓. First Name. 名. Name in Katakana. フリガナ. Postal Code. 郵便番号 〒. Home Address. 住所. Phone Number. 電話番号. Nationality.,9,organic_results,Yes,,Russian,,Medical,1,,Reject,Arun,,
medical,"""患者登録用紙"" filetype:pdf",https://www.jadia.or.jp/JADIA-Statement.pdf,令和7年 6 月 5 日 ペースメーカ／ICD 関連情報提供者（CDR） ...,"令和7年 6 月 5 日 ペースメーカ／ICD 関連情報提供者（CDR） ...一般社団法人日本不整脈デバイス工業会https://www.jadia.or.jp › JADIA-Statement一般社団法人日本不整脈デバイス工業会PDFJun 5, 2025 — 4. CDRは、遠隔モニタリングに患者を登録、患者情報を取集、患者登録用紙やペースメーカ. 手帳への記載といった医療施設 ...",11,organic_results,Yes,,Russian,,Medical,2,,Reject,Arun,,
medical,"""患者登録用紙"" filetype:pdf",https://toneyama.hosp.go.jp/patient/document_application/pdf/application.pdf,診断書・証明書等 申込兼同意書 - 大阪刀根山医療センター,"診断書・証明書等 申込兼同意書 - 大阪刀根山医療センター大阪刀根山医療センターhttps://toneyama.hosp.go.jp › pdf › application大阪刀根山医療センターPDFジストロフィン異常症患者登録用紙. ¥5,500. 主治医意見書. 保険（生命保険、自賠責保険）、. 年金、裁判所、じん肺、石綿. 小児慢性特定疾患医療受診券. 医療機関追加申請書.",13,organic_results,Yes,,Russian,,Medical,2,,Reject,Arun,,
medical,"""患者登録用紙"" filetype:pdf",https://mhlw-grants.niph.go.jp/system/files/2016/162051/201610042B_upload/201610042B0002.pdf,目次 [8.12 KB],目次 [8.12 KB]厚生労働科学研究成果データベースhttps://mhlw-grants.niph.go.jp › system › files厚生労働科学研究成果データベースPDF(資料) 筋強直性ジストロフィー患者登録用紙. (資料) 先天性筋疾患登録用紙. 9. 目 次. 疾患レジストリー研究. 難治性筋疾患の疫学・自然歴の収集および治療開発促進を目的 ...,19,organic_results,Yes,,Russian,,Medical,1,,Reject,Arun,,
medical,"""患者登録用紙"" filetype:pdf",https://remudy.ncnp.go.jp/assets/pdf/myotonic/touroku_flow_pa_dm_c.pdf,神経筋疾患患者登録センター - Remudy,神経筋疾患患者登録センター - RemudyRemudyhttps://remudy.ncnp.go.jp › assets › pdf › myotonicRemudyPDF書類の準備 研究説明文書 (患者様用)をお読みいただき、登録に必要な書類一式. （①患者登録用紙、②患者様用同意文書、③医師用同意文書）をダウンロードします。 受診 ...,20,organic_results,Yes,,Russian,,Medical,1,,Reject,Arun,,
medical,"""患者登録用紙"" filetype:pdf",https://www.chuwa-hp.jp/wp-content/uploads/2019/03/1downloaddata5.pdf,在宅療養後方支援体制に関する連携協定書,在宅療養後方支援体制に関する連携協定書済生会中和病院https://www.chuwa-hp.jp › uploads › 2019/03済生会中和病院PDF望患者登録用紙に記載のある医療機関等を紹介する。 3 乙は、患者の緊急時に迅速に対応するために、甲と3か月に1回患者の情報交換を行. う。 4 乙は、入院された ...,21,organic_results,Yes,,Russian,,Medical,1,115 KB,Reject,Arun,,
medical,"""患者登録用紙"" filetype:pdf",https://hospital.city.chiba.jp/aoba/wp-content/uploads/2020/10/021012_optout_005.pdf,オプトアウト,オプトアウト千葉市https://hospital.city.chiba.jp › 021012_optout_005千葉市PDF対象症例があれば「急性期脊髄損傷患者登録用紙」に回答を記入して学会に提出しま. す。 2018年1月から2018年12月まで. 利用する情報から氏名や住所などの患者様を直接 ...,22,organic_results,Yes,,Russian,,Medical,1,99.6 KB,Reject,Arun,,
medical,"""患者登録用紙"" filetype:pdf",https://m.kawasaki-m.ac.jp/kenkyu/sinsa/iinkai/2024/0624.pdf,2)各職場等（Zoom会議） 氏 名 性 別 構成,"2)各職場等（Zoom会議） 氏 名 性 別 構成川崎医科大学https://m.kawasaki-m.ac.jp › sinsa › iinkai川崎医科大学PDFJun 24, 2024 — 管理計画、研究分担医師リスト、患者登録用紙、契約書案. 2024年度第3回川崎医科大学臨床研究審査委員会 会議記録概要. 委員数/全委員数： 11名/11名.",23,organic_results,Yes,,Russian,,Medical,3,126 KB,Reject,Arun,,
