link,Unnamed: 1,Status,Verified By,Date,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Feedback
https://nbbonline.ae/storage/2025/05/Courier-Services-Agreement.pdf,,Accepted,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2025/05/Courier-Service-Service-Activation-Form.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2025/07/NBB-UAE-DigiCorp-Application-Form-1-1.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2025/05/NBB-UAE-DigiConnect-Form.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2025/05/Sweep-Transfer-Application.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2025/05/Export-Collection-Order-Form-En-1.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2025/05/Import-LC-Amendment-Application-Form-1.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2025/05/LG-Application-Indemnity-Form-1.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2025/05/NBB-Complaint-Form-AR_EN_0_0.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2025/05/NBB-UAE-Complaint-Handling-V3_0_0.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2025/06/NBB-UAE-Account-Opening-Form-April-2025-V5.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2024/11/APPLICATION-FOR-OPENING-TIME-DEPOSIT-CALL-ACCOUNT_compressed.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2025/06/NBB-UAE-Account-Closure-Statement-Clearance-Request-May-2025-V3-1.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2025/01/NBB-FATCA-form.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2025/01/Cheque-book-application_31122024122939.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2025/05/Account-Signing-Instructions.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2025/07/NBB-Application-For-Opening-Fixed-Deposit-or-call-Account.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2025/05/CRS-Form-Corporate-Customer.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://nbbonline.ae/storage/2025/07/NBB-E-Statement-Agreement-form.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doc.aljaziratakaful.com.sa/AJTWEB_HDF.pdf,,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/09/BasicADUndertaking-En.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/10/Abu-Dhabi-Basic-Plan-Premium-Rate-EngAra-01July2024_1.0.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/09/EXH-6420_221227_Abu-Dhabi-Basic-Plan-Application-Required-Documents-Female-Employee-Dependents_V1R2-2.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/09/indbasicadsalarycertificate.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/09/EXH-6418_221227_Abu-Dhabi-Basic-Plan-Application-Required-Documents-Dependents_V1R2-1.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/09/Authorised_signatory_form.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/10/EXH-6424_221227_Abu-Dhabi-Basic-Plan-Application-Required-Documents-Small-Investors_V1R3-1.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/09/Providers_cash_collection_rectification_form-1.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/09/EXH-6422_221227_Abu-Dhabi-Basic-Plan-Application-Required-Documents-Large-Groups_V1R3-1.pdf,application/pdf,Accepted,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2023/10/Member_information_form.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/09/Providers_cash_collection_rectification_form-1-1.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/10/Member_information_form-copy-1-1.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/09/Abu_Dhabi_Basic_Plan_individual_application.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/10/EXH-6419_221227_Abu-Dhabi-Basic-Plan-Application-Required-Documents-Domestic-Helpers_V1R2-1.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/10/Reimbursement_Form_AR-1-111.pdf,application/pdf,Accepted,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/05/Daman-Adeo-ADD-EDIT-CANCEL-MEMBER-Pre-login-user-guide-compresse_AR.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/10/checklist_thiqatopup.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/10/EXH-6421_221227_Abu-Dhabi-Basic-Plan-Application-Required-Documents-GCC-Nationals_V1R2.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/10/EXH-6425_220915_Abu-Dhabi-Basic-Plan-Endorsement-Required-Documents_V1R2-2.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/09/EXH-6424_221227_Abu-Dhabi-Basic-Plan-Application-Required-Documents-Small-Investors_V1R3-1.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/10/Additional_pregnancy_questionnaire-1-1.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2023/12/Abu_Dhabi_Basic_Plan_sponsor_authorisation_letter_EN.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/09/XTEMP-11209_240716_Individual-Declaration-Letter-Bilingually_V1R1.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/10/EXH-6141_211129_Checklist-for-Enhanced-Small-Group-Enrolment-Renewal-and-Endorsement_V1R2-2.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/10/Endorsement-Form.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/10/Medical_examination_form-2.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/09/Endorsement-Form.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/10/Individual-Enhanced-Application-Form.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/09/Individual_Application_Form_Enhanced_Sahtak_UG_Plans-2.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2023/12/Declaration_form_for_small_investors.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/10/Authorised_signatory_form.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/09/Medical_examination_form-2.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2023/12/Reimbursement_Form_AR-1.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/09/Additional_pregnancy_questionnaire-1.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/10/Abu_Dhabi_Basic_Plan_Letter_of_Acceptance_LOA-1.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2023/10/Individual-registration-arabic-manual.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2023/10/group-reg-ar-.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2023/10/Daman-How-to-register-as-a-member-Arabic-user-guide.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2023/10/Pay-outstanding-fees-ar.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2023/10/member_onboarding_kit_ar.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2023/10/Daman-credit-invoice-user-guide-ar.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2023/10/how-to-submit-a-claim-user-guide-arabic.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2023/10/Daman-How-to-use-Daman-App-Arabic-user-guide.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2023/12/FAQ_Flexi-Health-Insurance-Plan_Ar.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2024/11/SP_Flexi-Health-Insurance_A_Mat_0Ded_NoDental_AR.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2024/12/SOB-US-7184A_070721_Alami-Bronze-Covid-19_90Days-WW-Exc-USA-CAN.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2024/12/SOB-US-7180A_070721_Alami-Bronze-Covid-19_15Days-WW.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2024/12/SOB-US-7177A_070721_Alami-Bronze-Covid-19-Without-Dental-_Alami-Bronze-Covid-19_Annual-WW.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2024/12/SOB-US-7182A_070721_Alami-Bronze-Covid-19-Without-Dental-_Alami-Bronze-Covid-19_30Days-WW.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2024/12/SOB-US-7181A_070721_Alami-Bronze-Covid-19_15Days-WW-Exc-USA-CAN.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2024/12/SOB-US-7178A_070721_Alami-Bronze-Covid-19-_Annual-WW-Exc-USA-CAN-UAE.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2024/12/SOB-US-7183A_070721_Alami-Bronze-Covid-19_30Days-WW-Exc-USA-CA.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/02/Required-Documents-for-Reimbursement-Important-to-Note-AR-1.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/02/Claims-Frequently-Asked-QuestionsAR.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/02/Health-Screening-Packages-AR-1.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2024/04/Member-Guide-Priority-Members-15Apr24.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/02/Priority-Members-Selected-Network-Provides-AR.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/02/Reasonable-Customary-Charges-AR-1.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2025/03/Your-Rights-Responsibilities-AR.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.damanhealth.ae/wp-content/uploads/2023/12/Daman-App-User-Guide_AR.pdf,application/pdf,Rejected,Arun,14-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
