sector,english_keyword,term,query,link,Status,Feedback
medical,medical history form,форма истории болезни,форма истории болезни filetype:pdf,http://elib.usma.ru/bitstream/usma/15402/1/usmu_vestnik_2023_02_007.pdf,,
medical,medical history form,форма истории болезни,форма истории болезни filetype:pdf,https://roszdravnadzor.gov.ru/i/upload/images/2023/6/14/1686728373.04766-1-2299878.pdf,,
medical,medical history form,форма истории болезни,форма истории болезни filetype:pdf,http://amiac.amurzdrav.ru/ftp/y_rep/2017/presentation/%D0%A4%D0%BE%D1%80%D0%BC%D0%B0%20%E2%84%96%2030%20-%205.%20%D1%81%D1%82%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D1%80.pdf,,
medical,medical history form,форма истории болезни,форма истории болезни filetype:pdf,https://cyberleninka.ru/article/n/shizofreniya-s-soputstvuyuschey-serdechno-sosudistoy-patologiey.pdf,,
medical,medical history form,форма истории болезни,форма истории болезни filetype:pdf,https://mededu53.ru/images/doc/obrazovanie/prog_sdv/praktiki/pp_pm.04_terapiia_programma.pdf,,
medical,medical history form,форма истории болезни,форма истории болезни filetype:pdf,https://miac58.ru/sites/default/files/files/page/forma_no12vasyakina_2021_doklad.pdf,,
medical,medical history form,форма истории болезни,форма истории болезни filetype:pdf,https://medsoft.su/files/manuals/Quasar4/EMK/council/q4.manual.EMK.council.pdf,,
medical,medical history form,форма истории болезни,форма истории болезни filetype:pdf,https://www.krsu.edu.kg/images/faculties/6med/6med/SD/2018/RPD/RPD_35_31.05.03SD2018_29.08.2019.pdf,,
medical,medical history form,форма истории болезни,форма истории болезни filetype:pdf,https://roszdravnadzor.gov.ru/i/upload/images/2024/1/15/1705352301.76164-1-3079237.pdf,,
medical,medical history form,форма истории болезни,форма истории болезни filetype:pdf,https://cyberleninka.ru/article/n/vladimir-mihaylovich-dilman-teoretik-i-praktik-meditsiny-k-90-letiyu-so-dnya-rozhdeniya.pdf,,
medical,medical history form,форма истории болезни,форма истории болезни filetype:pdf,https://fond.predanie.ru/uploads/media/default/0001/23/b46a76d0698b426b350a864bdac2ca0508badde1.pdf,,
